ds,y,yhat,yhat_lower,yhat_upper,error
2025-12-30 21:00:00,73664.0,85798.45199774776,76084.15351775633,95812.87009638052,12134.451997747761
2025-12-30 22:00:00,71144.0,84011.08476031163,75290.77968424695,93765.12546644763,12867.084760311627
2025-12-30 23:00:00,70293.0,80969.11055313147,71283.78394997159,91211.84228721226,10676.110553131468
2025-12-31 00:00:00,69211.0,77763.15443734016,68683.74602292974,86845.87942393697,8552.154437340156
2025-12-31 01:00:00,65511.0,74924.38049064417,65305.97593093024,84566.03055007468,9413.380490644166
2025-12-31 02:00:00,62817.0,73069.07818141837,63553.994748717036,82470.817946504,10252.078181418372
2025-12-31 03:00:00,61382.0,71512.46512740759,61584.06846824668,81538.88920740044,10130.465127407588
2025-12-31 04:00:00,60555.0,70758.80733391571,61079.65982387214,80945.70319176966,10203.807333915713
2025-12-31 05:00:00,60966.0,71285.25088805081,62153.8584883658,80508.31480609138,10319.25088805081
2025-12-31 06:00:00,62709.0,72639.6607155282,62491.212156028,82903.34406976348,9930.660715528196
2025-12-31 07:00:00,66515.0,75271.37115122528,65968.35326245941,84722.68986587107,8756.371151225278
2025-12-31 08:00:00,72922.0,79375.49236432312,69882.8761094692,87973.6488526724,6453.492364323116
2025-12-31 09:00:00,79488.0,82013.7638556577,72950.85786520969,91904.79999345749,2525.7638556577003
2025-12-31 10:00:00,78330.0,82681.24903313092,72859.24520801047,92663.35146132308,4351.249033130924
2025-12-31 11:00:00,74255.0,81989.47547875828,72523.31049534115,91787.39123946539,7734.475478758279
2025-12-31 12:00:00,70375.0,80469.30353331829,70712.42081774409,89726.7626839964,10094.303533318292
2025-12-31 13:00:00,65668.0,79603.6407897266,68908.96767255534,89352.88902057405,13935.640789726604
2025-12-31 14:00:00,67329.0,80243.58980094024,70115.09369937475,89881.03033852534,12914.589800940244
2025-12-31 15:00:00,68962.0,82597.70569440733,73804.37928198598,91792.06076731876,13635.705694407327
2025-12-31 16:00:00,71561.0,84765.08626532997,74604.52853146002,93563.77612441596,13204.08626532997
2025-12-31 17:00:00,74957.0,87414.58199085528,77605.4455491403,97020.83159777135,12457.58199085528
2025-12-31 18:00:00,76544.0,89331.81620632805,79598.90010690803,98819.2184620573,12787.816206328047
2025-12-31 19:00:00,75450.0,89546.77474097704,79725.48548977378,99594.10908599255,14096.774740977038
2025-12-31 20:00:00,74145.0,89267.66321899547,79938.50012593018,99066.69409808071,15122.663218995469
2025-12-31 21:00:00,72093.0,88752.30221181168,79097.41437503621,98229.0591736008,16659.30221181168
2025-12-31 22:00:00,70239.0,87145.74001386737,77080.46793857057,96934.28478722087,16906.74001386737
2025-12-31 23:00:00,70089.0,84290.62972118914,74610.77553964539,93807.77864425739,14201.629721189136
